category,subcategory_count,subcategories
Adhensive,4,China glue | Gum | Silicon | Top Bond
Angle_bracket,3,Aluminium | Iron | Plastic
Board,13,Back cover | Foreign Plywood | Hdf gloss | Hdf ordinary | Marine | Mdf gloss | Mdf ordinay | Nigerian Plywood | Particle | Rock Panel | aco | cardboard | flutted panel
Cabinet_hinges,3,Absorber | Hydraulic | Ordinary
Castor,6,Pencil | Plastic lshape | alluminium | alluminium lshape | three finger slant | three finger straight
Chrome,2,Black | Silver
Cushion,5,Blue | Fiber sheet | Lemon | Supersoft | grey
Door_Hinges,0,
Drawer_Runner,3,Undermount | hydraulic | ordinary
Edge_tape,2,gloss | matte
Fabric,11,Animal Skin | Baft | Boucle Fabric | Cloth Leather | Korean Leather | Matte | Semi Skin | Semi boucle | Suede leather | Thick Velvet | Velvet
Handle,3,knob | line | pipe
Hook,3,Bed | Panel | Sofa
Insecticide,1,DD force
Lightening,3,Choke | Dotted strip | Running
Machine_accessories,1,Grinder backing pad
Marble,8,Black Galaxy | Foreign Quartz | Multired | Nigeria Black | Paradiso | Red Marble | Silver Gold | White Cara
Nail,3,Airgun | Hammer | Tornado
Others,16,Carton | Door Pusher iron | Door pusher plastic | Fiber scrums | Rope | Sand_Paper | Spring | Table Plastic cover | Troying | Tv hanger lightweight | Tyre | Wibing Rubber | Wibing_Rubber | button | screw bit | wainscoating
Packaging,3,Bubble | Cellutape | Wrapping nylon
Paint,7,Auto base | Auto cray | Body filler | Emulsion | Hardner | Primer | Spray paint
Pin,6,Gold sofa | Panel | Silver sofa | Stapler | Stud Plastic | Stud Silver
Pole,7,Cabinet | Curtain | Flat | Hook | Round | Round Hook | flat Hook
Screw,1,Black
Wood,2,Iroko | Melina
