material,category,subcategory,size,unit,color,price_raw,price_numeric
"Handle_pipe_6""_Piece_Gold",Handle,pipe,"6""",Piece,Gold,450,450
"Drawer_Runner_ ordinary_10""_Pair",Drawer_Runner,ordinary,"10""",Pair,,1000,1000
"Drawer_Runner_ ordinary_12""_Pair",Drawer_Runner,ordinary,"12""",Pair,,1100,1100
"Drawer_Runner_ ordinary_14""_Pair",Drawer_Runner,ordinary,"14""",Pair,,1300,1300
"Drawer_Runner_ ordinary_16""_Pair",Drawer_Runner,ordinary,"16""",Pair,,1700,1700
Edge_tape_matte_Yard_Black Wenge,Edge_tape,matte,,Yard,Black Wenge,100,100
Edge_tape_ gloss_Yard_Offwhite,Edge_tape,gloss,,Yard,Offwhite,100,100
Edge_tape_gloss_Yard_Gold,Edge_tape,gloss,,Yard,Gold,400,400
"Screw_Black_0.25""_Pack",Screw,Black,"0.25""",Pack,,1600,1600
"Screw_Black_0.5""_Pack",Screw,Black,"0.5""",Pack,,1800,1800
"Screw_Black_2""_Pack",Screw,Black,"2""",Pack,,2000,2000
Fabric_Velvet_Yard,Fabric,Velvet,,Yard,,1600,1600
"Castor_Pencil_4""_Set_Gold",Castor,Pencil,"4""",Set,Gold,3000,3000
"Castor_Pencil_5""_Set_Gold",Castor,Pencil,"5""",Set,Gold,3500,3500
"Castor_Pencil_6""_Set_Gold",Castor,Pencil,"6""",Set,Gold,4000,4000
"Castor_Pencil_8""_Set_Gold",Castor,Pencil,"8""",Set,Gold,5000,5000
"Castor_Pencil_10""_Set_Gold",Castor,Pencil,"10""",Set,Gold,7000,7000
"Castor_Pencil_12""_Set_Gold",Castor,Pencil,"12""",Set,Gold,7500,7500
"Castor_Pencil_16""_Set_Gold",Castor,Pencil,"16""",Set,Gold,12500,12500
"Castor_Pencil_18""_Set_Gold",Castor,Pencil,"18""",Set,Gold,13500,13500
"Castor_ three finger straight_4""_Set_Gold",Castor,three finger straight,"4""",Set,Gold,2000,2000
"Castor_ alluminium lshape_3""_Set_Gold",Castor,alluminium lshape,"3""",Set,Gold,3000,3000
Cabinet_hinges_Hydraulic_Pair,Cabinet_hinges,Hydraulic,,Pair,,800,800
Cabinet_hinges_ Ordinary_Pair,Cabinet_hinges,Ordinary,,Pair,,450,450
Board_Mdf ordinay_Piece,Board,Mdf ordinay,,Piece,,22000,22000
Board_Hdf ordinary_Piece,Board,Hdf ordinary,,Piece,,30000,30000
Board_ Mdf gloss_Piece,Board,Mdf gloss,,Piece,,37000,37000
Board_ Hdf gloss_Piece,Board,Hdf gloss,,Piece,,57000,57000
Board_ flutted panel_Piece,Board,flutted panel,,Piece,,6000,6000
"Cushion_Blue_1""_Piece",Cushion,Blue,"1""",Piece,,3500,3500
"Cushion_Blue_2""_Piece",Cushion,Blue,"2""",Piece,,6500,6500
"Cushion_Blue_3""_Piece",Cushion,Blue,"3""",Piece,,16500,16500
"Cushion_Blue_4""_Piece",Cushion,Blue,"4""",Piece,,15000,15000
"Cushion_Blue_5""_Piece",Cushion,Blue,"5""",Piece,,18000,18000
"Cushion_ Lemon_1""_Piece",Cushion,Lemon,"1""",Piece,,7500,7500
"Cushion_ Lemon_2""_Piece",Cushion,Lemon,"2""",Piece,,15000,15000
"Cushion_ Lemon_3""_Piece",Cushion,Lemon,"3""",Piece,,22500,22500
